#X Y timestamp framecnt Z flag
129.0 15.0 1654241107.77 2279774 0.0 0
129.0 17.6 1654241111.05 2283956 0.0 0
129.0 20.2 1654241114.34 2288141 0.0 0
129.0 22.8 1654241117.64 2292326 0.0 0
129.0 25.4 1654241120.93 2296509 0.0 0
129.0 28.0 1654241124.22 2300692 0.0 0
129.0 30.6 1654241127.51 2304877 0.0 0
129.0 33.2 1654241130.8 2309058 0.0 0
129.0 35.8 1654241134.09 2313243 0.0 0
129.0 38.4 1654241137.38 2317429 0.0 0
129.0 41.0 1654241140.67 2321613 0.0 0
129.0 43.6 1654241143.96 2325797 0.0 0
129.0 46.2 1654241147.25 2329981 0.0 0
129.0 48.8 1654241150.54 2334164 0.0 0
129.0 51.4 1654241153.83 2338349 0.0 0
129.0 54.0 1654241157.12 2342534 0.0 0
129.0 56.6 1654241160.41 2346718 0.0 0
129.0 59.2 1654241163.7 2350902 0.0 0
129.0 61.8 1654241166.99 2355084 0.0 0
129.0 64.4 1654241170.28 2359269 0.0 0
129.0 67.0 1654241173.57 2363453 0.0 0
129.0 69.6 1654241176.86 2367636 0.0 0
129.0 72.2 1654241180.15 2371821 0.0 0
129.0 74.8 1654241183.44 2376004 0.0 0
129.0 77.4 1654241186.74 2380190 0.0 0
129.0 80.0 1654241190.02 2384373 0.0 0
129.0 82.6 1654241193.32 2388558 0.0 0
129.0 85.2 1654241196.61 2392741 0.0 0
129.0 87.8 1654241199.9 2396929 0.0 0
129.0 90.4 1654241203.19 2401118 0.0 0
129.0 93.0 1654241206.48 2405301 0.0 0
129.0 95.6 1654241209.77 2409485 0.0 0
129.0 98.2 1654241213.07 2413670 0.0 0
129.0 100.8 1654241216.36 2417855 0.0 0
129.0 103.4 1654241219.65 2422041 0.0 0
129.0 106.0 1654241222.94 2426224 0.0 0
129.0 108.6 1654241226.23 2430409 0.0 0
129.0 111.2 1654241229.52 2434591 0.0 0
129.0 113.8 1654241232.81 2438776 0.0 0
129.0 116.4 1654241236.1 2442960 0.0 0
129.0 119.0 1654241239.39 2447144 0.0 0
129.0 121.6 1654241242.68 2451328 0.0 0
129.0 124.2 1654241245.97 2455512 0.0 0
129.0 126.8 1654241249.26 2459697 0.0 0
129.0 129.4 1654241252.55 2463881 0.0 0
129.0 132.0 1654241255.84 2468064 0.0 0
129.0 134.6 1654241259.13 2472250 0.0 0
129.0 137.2 1654241262.42 2476433 0.0 0
129.0 139.8 1654241265.71 2480617 0.0 0
129.0 142.4 1654241269.01 2484802 0.0 0
129.0 145.0 1654241272.3 2488986 0.0 0
131.6 15.0 1654241284.1 2504000 0.0 0
131.6 17.6 1654241287.39 2508183 0.0 0
131.6 20.2 1654241290.68 2512365 0.0 0
131.6 22.8 1654241293.97 2516548 0.0 0
131.6 25.4 1654241297.26 2520733 0.0 0
131.6 28.0 1654241300.55 2524918 0.0 0
131.6 30.6 1654241303.84 2529101 0.0 0
131.6 33.2 1654241307.13 2533284 0.0 0
131.6 35.8 1654241310.42 2537470 0.0 0
131.6 38.4 1654241313.72 2541654 0.0 0
131.6 41.0 1654241317.01 2545837 0.0 0
131.6 43.6 1654241320.3 2550021 0.0 0
